,County,Year,County_Population,Date,Metro,State,Month,Rent,Med_Monthly_Income
114,"Adams County, Illinois",2014,66988,2014/3/1,"Quincy, Illinois",Illinois,3,1191,3800.5
115,"Adams County, Illinois",2014,66988,2014/10/1,"Quincy, Illinois",Illinois,10,1209,3800.5
116,"Adams County, Illinois",2014,66988,2014/8/1,"Quincy, Illinois",Illinois,8,1194,3800.5
117,"Adams County, Illinois",2014,66988,2014/9/1,"Quincy, Illinois",Illinois,9,1206.666667,3800.5
118,"Adams County, Illinois",2014,66988,2014/5/1,"Quincy, Illinois",Illinois,5,1211,3800.5
119,"Adams County, Illinois",2014,66988,2014/2/1,"Quincy, Illinois",Illinois,2,1172.333333,3800.5
120,"Adams County, Illinois",2014,66988,2014/12/1,"Quincy, Illinois",Illinois,12,1266.333333,3800.5
121,"Adams County, Illinois",2015,67013,2015/10/1,"Quincy, Illinois",Illinois,10,1143.666667,3877.333333
122,"Adams County, Illinois",2015,67013,2015/1/1,"Quincy, Illinois",Illinois,1,1269.333333,3877.333333
123,"Adams County, Illinois",2015,67013,2015/12/1,"Quincy, Illinois",Illinois,12,1154.333333,3877.333333
124,"Adams County, Illinois",2015,67013,2015/4/1,"Quincy, Illinois",Illinois,4,1209,3877.333333
125,"Adams County, Illinois",2015,67013,2015/6/1,"Quincy, Illinois",Illinois,6,1174.333333,3877.333333
126,"Adams County, Illinois",2015,67013,2015/3/1,"Quincy, Illinois",Illinois,3,1211.666667,3877.333333
127,"Adams County, Illinois",2015,67013,2015/2/1,"Quincy, Illinois",Illinois,2,1236.666667,3877.333333
128,"Adams County, Illinois",2015,67013,2015/8/1,"Quincy, Illinois",Illinois,8,1162,3877.333333
129,"Adams County, Illinois",2015,67013,2015/9/1,"Quincy, Illinois",Illinois,9,1156,3877.333333
130,"Adams County, Illinois",2015,67013,2015/11/1,"Quincy, Illinois",Illinois,11,1142,3877.333333
131,"Adams County, Illinois",2015,67013,2015/7/1,"Quincy, Illinois",Illinois,7,1159,3877.333333
132,"Adams County, Illinois",2015,67013,2015/5/1,"Quincy, Illinois",Illinois,5,1192,3877.333333
133,"Adams County, Illinois",2016,66578,2016/1/1,"Quincy, Illinois",Illinois,1,1179.333333,4302
134,"Adams County, Illinois",2016,66578,2016/5/1,"Quincy, Illinois",Illinois,5,1236,4302
135,"Adams County, Illinois",2016,66578,2016/7/1,"Quincy, Illinois",Illinois,7,1212.666667,4302
136,"Adams County, Illinois",2016,66578,2016/3/1,"Quincy, Illinois",Illinois,3,1221.666667,4302
137,"Adams County, Illinois",2016,66578,2016/2/1,"Quincy, Illinois",Illinois,2,1200,4302
138,"Adams County, Illinois",2016,66578,2016/9/1,"Quincy, Illinois",Illinois,9,1186,4302
139,"Adams County, Illinois",2016,66578,2016/10/1,"Quincy, Illinois",Illinois,10,1166,4302
140,"Adams County, Illinois",2016,66578,2016/11/1,"Quincy, Illinois",Illinois,11,1146.666667,4302
141,"Adams County, Illinois",2016,66578,2016/6/1,"Quincy, Illinois",Illinois,6,1224,4302
142,"Adams County, Illinois",2016,66578,2016/4/1,"Quincy, Illinois",Illinois,4,1234,4302
143,"Adams County, Illinois",2016,66578,2016/12/1,"Quincy, Illinois",Illinois,12,1137.333333,4302
144,"Adams County, Illinois",2016,66578,2016/8/1,"Quincy, Illinois",Illinois,8,1198,4302
145,"Adams County, Pennsylvania",2013,101546,2013/12/1,"Gettysburg, Pennsylvania",Pennsylvania,12,1205.586207,4919.083333
146,"Adams County, Pennsylvania",2013,101546,2013/8/1,"Gettysburg, Pennsylvania",Pennsylvania,8,1207.413793,4919.083333
147,"Adams County, Pennsylvania",2013,101546,2013/7/1,"Gettysburg, Pennsylvania",Pennsylvania,7,1199.931034,4919.083333
148,"Adams County, Pennsylvania",2013,101546,2013/4/1,"Gettysburg, Pennsylvania",Pennsylvania,4,1194.103448,4919.083333
149,"Adams County, Pennsylvania",2013,101546,2013/2/1,"Gettysburg, Pennsylvania",Pennsylvania,2,1176.241379,4919.083333
150,"Adams County, Pennsylvania",2013,101546,2013/10/1,"Gettysburg, Pennsylvania",Pennsylvania,10,1214.241379,4919.083333
151,"Adams County, Pennsylvania",2013,101546,2013/3/1,"Gettysburg, Pennsylvania",Pennsylvania,3,1186.344828,4919.083333
152,"Adams County, Pennsylvania",2013,101546,2013/11/1,"Gettysburg, Pennsylvania",Pennsylvania,11,1213.103448,4919.083333
153,"Adams County, Pennsylvania",2013,101546,2013/5/1,"Gettysburg, Pennsylvania",Pennsylvania,5,1194.724138,4919.083333
154,"Adams County, Pennsylvania",2013,101546,2013/6/1,"Gettysburg, Pennsylvania",Pennsylvania,6,1196.896552,4919.083333
155,"Adams County, Pennsylvania",2013,101546,2013/1/1,"Gettysburg, Pennsylvania",Pennsylvania,1,1170.172414,4919.083333
156,"Adams County, Pennsylvania",2013,101546,2013/9/1,"Gettysburg, Pennsylvania",Pennsylvania,9,1213.724138,4919.083333
157,"Adams County, Pennsylvania",2014,101714,2014/6/1,"Gettysburg, Pennsylvania",Pennsylvania,6,1172.310345,5128.583333
158,"Adams County, Pennsylvania",2014,101714,2014/11/1,"Gettysburg, Pennsylvania",Pennsylvania,11,1185.068966,5128.583333
159,"Adams County, Pennsylvania",2014,101714,2014/12/1,"Gettysburg, Pennsylvania",Pennsylvania,12,1188.137931,5128.583333
160,"Adams County, Pennsylvania",2014,101714,2014/7/1,"Gettysburg, Pennsylvania",Pennsylvania,7,1172.482759,5128.583333
161,"Adams County, Pennsylvania",2014,101714,2014/5/1,"Gettysburg, Pennsylvania",Pennsylvania,5,1180.172414,5128.583333
162,"Adams County, Pennsylvania",2014,101714,2014/4/1,"Gettysburg, Pennsylvania",Pennsylvania,4,1186.517241,5128.583333
163,"Adams County, Pennsylvania",2014,101714,2014/3/1,"Gettysburg, Pennsylvania",Pennsylvania,3,1192.586207,5128.583333
164,"Adams County, Pennsylvania",2014,101714,2014/2/1,"Gettysburg, Pennsylvania",Pennsylvania,2,1194.034483,5128.583333
165,"Adams County, Pennsylvania",2014,101714,2014/9/1,"Gettysburg, Pennsylvania",Pennsylvania,9,1182.413793,5128.583333
166,"Adams County, Pennsylvania",2014,101714,2014/1/1,"Gettysburg, Pennsylvania",Pennsylvania,1,1199.241379,5128.583333
167,"Adams County, Pennsylvania",2014,101714,2014/10/1,"Gettysburg, Pennsylvania",Pennsylvania,10,1184.551724,5128.583333
168,"Adams County, Pennsylvania",2014,101714,2014/8/1,"Gettysburg, Pennsylvania",Pennsylvania,8,1176.068966,5128.583333
169,"Adams County, Pennsylvania",2015,102295,2015/9/1,"Gettysburg, Pennsylvania",Pennsylvania,9,1224.896552,5085.25
170,"Adams County, Pennsylvania",2015,102295,2015/2/1,"Gettysburg, Pennsylvania",Pennsylvania,2,1185.586207,5085.25
171,"Adams County, Pennsylvania",2015,102295,2015/6/1,"Gettysburg, Pennsylvania",Pennsylvania,6,1209.931034,5085.25
172,"Adams County, Pennsylvania",2015,102295,2015/5/1,"Gettysburg, Pennsylvania",Pennsylvania,5,1196.172414,5085.25
173,"Adams County, Pennsylvania",2015,102295,2015/3/1,"Gettysburg, Pennsylvania",Pennsylvania,3,1179.551724,5085.25
174,"Adams County, Pennsylvania",2015,102295,2015/4/1,"Gettysburg, Pennsylvania",Pennsylvania,4,1185.206897,5085.25
175,"Adams County, Pennsylvania",2015,102295,2015/8/1,"Gettysburg, Pennsylvania",Pennsylvania,8,1220.655172,5085.25
176,"Adams County, Pennsylvania",2015,102295,2015/10/1,"Gettysburg, Pennsylvania",Pennsylvania,10,1232.724138,5085.25
177,"Adams County, Pennsylvania",2015,102295,2015/1/1,"Gettysburg, Pennsylvania",Pennsylvania,1,1187.62069,5085.25
178,"Adams County, Pennsylvania",2015,102295,2015/7/1,"Gettysburg, Pennsylvania",Pennsylvania,7,1217.862069,5085.25
179,"Adams County, Pennsylvania",2015,102295,2015/12/1,"Gettysburg, Pennsylvania",Pennsylvania,12,1261.241379,5085.25
180,"Adams County, Pennsylvania",2015,102295,2015/11/1,"Gettysburg, Pennsylvania",Pennsylvania,11,1248.413793,5085.25
181,"Adams County, Pennsylvania",2016,102180,2016/7/1,"Gettysburg, Pennsylvania",Pennsylvania,7,1263.655172,4941.666667
182,"Adams County, Pennsylvania",2016,102180,2016/2/1,"Gettysburg, Pennsylvania",Pennsylvania,2,1279.137931,4941.666667
183,"Adams County, Pennsylvania",2016,102180,2016/5/1,"Gettysburg, Pennsylvania",Pennsylvania,5,1282.448276,4941.666667
184,"Adams County, Pennsylvania",2016,102180,2016/12/1,"Gettysburg, Pennsylvania",Pennsylvania,12,1249.137931,4941.666667
185,"Adams County, Pennsylvania",2016,102180,2016/4/1,"Gettysburg, Pennsylvania",Pennsylvania,4,1286.103448,4941.666667
186,"Adams County, Pennsylvania",2016,102180,2016/3/1,"Gettysburg, Pennsylvania",Pennsylvania,3,1286.068966,4941.666667
187,"Adams County, Pennsylvania",2016,102180,2016/8/1,"Gettysburg, Pennsylvania",Pennsylvania,8,1257.034483,4941.666667
188,"Adams County, Pennsylvania",2016,102180,2016/11/1,"Gettysburg, Pennsylvania",Pennsylvania,11,1255.827586,4941.666667
